tweet_id,keyword,text,created_at,user_id,username,name,followers,verified,likes,retweets,replies,hashtags,media_count,media_info,is_reply,is_retweet
2023996563396145179,timeline,RT @DEVILKNJ94: no words  https://t.co/RUAkiDsgt7,Wed Feb 18 05:42:39 +0000 2026,866953267,,Cardi B,37093310,False,0,1490,0,,1,"[{""type"": ""video"", ""url"": ""https://t.co/RUAkiDsgt7""}]",False,True
2023766754024206419,timeline,Lmaoooo this was me after to 😭😭😭,Tue Feb 17 14:29:28 +0000 2026,866953267,,Cardi B,37093310,False,19446,1248,394,,0,[],False,False
2023728228767051928,timeline,RT @stuncalis: KEHLANI NOW TYLA? Cardi B brings out Tyla for night 2 of her sold-out LA show…. she also let Tyla perform her hit song “CHAN…,Tue Feb 17 11:56:23 +0000 2026,866953267,,Cardi B,37093310,False,0,4341,0,,0,[],False,True
2023728201864786301,timeline,RT @newsscardi: Kehlani performing her Grammy winning hit song “Folded” tonight at Cardi B’s sold out concert in Los Angeles. 🥹❤️ https://t…,Tue Feb 17 11:56:17 +0000 2026,866953267,,Cardi B,37093310,False,0,1183,0,,0,[],False,True
2023597555481743456,timeline,RT @EmLen_: Raise ur hand if you saw Cardi flying 🦋🙋🏻‍♀️ https://t.co/PUObwVZT76,Tue Feb 17 03:17:08 +0000 2026,866953267,,Cardi B,37093310,False,0,430,0,,1,"[{""type"": ""photo"", ""url"": ""https://t.co/PUObwVZT76""}]",False,True
2023506553597554990,timeline,RT @bardiinnarari: this part here&gt;&gt;&gt; https://t.co/tmvnlPgioB,Mon Feb 16 21:15:31 +0000 2026,866953267,,Cardi B,37093310,False,0,245,0,,1,"[{""type"": ""video"", ""url"": ""https://t.co/tmvnlPgioB""}]",False,False
2023412868692193534,timeline,RT @itsKenBarbie: CAUGHT IN THE DRAMA? Make it known with the official Little Miss Drama Tour capsule collection AVAILABLE NOW 💕 https://t.…,Mon Feb 16 15:03:15 +0000 2026,866953267,,Cardi B,37093310,False,0,210,0,,0,[],False,True
2023358424088707207,timeline,RT @itsSeanBankhead: 💥💥💥💥💥💥 @iamcardib https://t.co/mtH9hVwSWA,Mon Feb 16 11:26:55 +0000 2026,866953267,,Cardi B,37093310,False,0,546,0,,1,"[{""type"": ""video"", ""url"": ""https://t.co/mtH9hVwSWA""}]",False,True
2023291184240836797,timeline,RT @cardibnet: Cardi B moving it like water 😮‍💨 #LittleMissDramaTour https://t.co/pDU43m3RH4,Mon Feb 16 06:59:43 +0000 2026,866953267,,Cardi B,37093310,False,0,1108,0,LittleMissDramaTour,1,"[{""type"": ""video"", ""url"": ""https://t.co/pDU43m3RH4""}]",False,True
2023211572219498562,timeline,It’s time for hoes to GAG !,Mon Feb 16 01:43:22 +0000 2026,866953267,,Cardi B,37093310,False,68138,4790,839,,0,[],False,False
2023211465172529541,timeline,"RT @BardiUpdatess: The Kia Forum has officially announced Cardi B has SOLD OUT both of her #LittleMissDramaTour shows at the arena! 

She i…",Mon Feb 16 01:42:57 +0000 2026,866953267,,Cardi B,37093310,False,0,630,0,LittleMissDramaTour,0,[],False,True
2023120309168304530,timeline,"RT @thekiaforum: LA, we’re up! 💋 Night 1 of 2 begins tonight! @iamcardib

💄 SUNDAY SHOW INFO 💄
TERRACE: 6PM
DOORS: 7:30PM
SHOW: 8PM https:/…",Sun Feb 15 19:40:44 +0000 2026,866953267,,Cardi B,37093310,False,0,246,0,,0,[],False,True
