id,keyword,user,user_name,text,created_at,likes,retweets,replies,source
2016870363494236381,#cancel,allyluvshisoka,ally ★,il répond pas il me trompe #cancel,Thu Jan 29 13:45:40 +0000 2026,0,0,0,cancellation_search
2023399071537381762,#cancel,heartlalalxnd,sissi ✿,petition to #cancel the people who bullied the author of the sweet bunny fic into deleting it,Mon Feb 16 14:08:26 +0000 2026,2912,302,40,cancellation_search
2024021986989547838,#cancelled,JoshuaR34249660,Josh Creator GALAXY,"Cartoon Fan &amp; Sad Fact: the Best cartoons that I saw &amp; heard are gone, #finished and #Cancelled in the last not long but few years ago, and worst they end with a #cliffhanger . RIP my Best Shows in 2019 &amp; 2024🌌📺🎬🎞️🚫🥺💧🥀 #Cartoons #finalspace #tlkoe #cleopatrainspace #mlpg5 https://t.co/qmw6IQ5O0f",Wed Feb 18 07:23:40 +0000 2026,30,6,1,cancellation_search
2029871947253678280,#cancelled,lupinflowrs,neda 📎 mjm,#cancelled.... smh..,Fri Mar 06 10:49:20 +0000 2026,2,0,0,cancellation_search
2024643794503668152,#cancelled,chuckmall,Chuck Mallory,"Shia LaBeouf you are cancelled. 

#Cancelled #homophobic https://t.co/edRdfs3wXu",Fri Feb 20 00:34:31 +0000 2026,0,0,0,cancellation_search
2027721391395770448,#cancelled,ArbaazTheGreat1,Arbaaz The Great,"#Hulchal at Hyderabad Airport after #AirIndia &amp; Indigo flights #cancelled.

#IsraelUS #IranWar https://t.co/qlChrx1x6w",Sat Feb 28 12:23:47 +0000 2026,0,0,1,cancellation_search
2023123430292234249,#cancelled,funzngamez,s ♡ ↯,oomf stole my idea #cancelled,Sun Feb 15 19:53:08 +0000 2026,4,0,2,cancellation_search
2030299718648222142,#cancelled,gaalikhayegaa,ishan kishan's century in final,@anamustcry #cancelled,Sat Mar 07 15:09:08 +0000 2026,3,0,0,cancellation_search
2026774909754490895,#cancelled,itsjusttai_,tai 🦦,james marriott is forcing his fans to become bald #cancelled https://t.co/uBXAs4eJ1G,Wed Feb 25 21:42:48 +0000 2026,29,0,1,cancellation_search
2026320523160854712,#cancelled,angelpeesyrups,Petulant Clark,my grandmother with dementia forgot shes on stolen land #cancelled #literallyhitler #killher,Tue Feb 24 15:37:14 +0000 2026,23,1,0,cancellation_search
2026017661155508465,#cancelled,friccvicc,vic,"you’re saying woman can’t go in the Cave? honestly thats really messed up, tom. #cancelled",Mon Feb 23 19:33:46 +0000 2026,4,0,1,cancellation_search
2026801204366590213,#cancelled,justquin8_,naya 💟,Etong tapatan expected na yung ult 8 ang makakatanggap ng lashings pero mukhang na reverse card ata at yung mga house challengers pa ang mukhang na #cancelled hahaha pero deserved! 🤭,Wed Feb 25 23:27:17 +0000 2026,11,1,0,cancellation_search
2030300981997510928,#cancelled,masbrini,Mason⁷¹,@mackieful #Cancelled,Sat Mar 07 15:14:09 +0000 2026,3,0,0,cancellation_search
2025641294492586128,#cancelled,crimsoncleradin,Teo ‧˚♪ 𝄞 ᵎ || CEO of #hearthell,all my accounts bc ppl r getting #cancelled …(bylercake is a joint acc) https://t.co/164BpzLQqY,Sun Feb 22 18:38:13 +0000 2026,29,0,2,cancellation_search
2030373291022860661,#cancelled,mirrorballcfc,n ✩,harassing derry who is one day old... #cancelled,Sat Mar 07 20:01:29 +0000 2026,10,0,0,cancellation_search
2029732605256663383,#cancelled,DMVFootballGuy,DMVFootballGuy,@TaylorLewan77 @AlaskaAir Goodbye Alaskan Airlines #cancelled,Fri Mar 06 01:35:38 +0000 2026,4,0,2,cancellation_search
2025223665248326131,#cancelled,wossa_3,gamma function hater,mascot doesn't have a sponsorship #cancelled,Sat Feb 21 14:58:43 +0000 2026,6,0,1,cancellation_search
2028946716460720503,#cancelled,UK_Daniel_Card,mRr3b00t,#cancelled,Tue Mar 03 21:32:47 +0000 2026,41,1,5,cancellation_search
2024271906925432880,#cancelled,adasbf,sl ano paulo do retwt RE9 SPOILERS,followin my #cancelled wifes steps 🥺 https://t.co/wS6BmKQVyG,Wed Feb 18 23:56:46 +0000 2026,5,0,0,cancellation_search
2030048103185928370,#cancelled,PrettyLuvBird,TyeB 💋,#cancelled,Fri Mar 06 22:29:18 +0000 2026,0,0,0,cancellation_search
2023539644990910751,#cancelled,Noahp245,Noah Phalen,Summer of Tauch is officially #cancelled,Mon Feb 16 23:27:01 +0000 2026,1,0,1,cancellation_search
2016383001379352726,#cancellation,SCRailwayIndia,South Central Railway,"📢Cancellation of trains due to operational reasons 
@drmsecunderabad @drmhyb
@drmned 
#Cancellation https://t.co/L0CQ7hd0ln",Wed Jan 28 05:29:04 +0000 2026,21,8,0,cancellation_search
1905664252704440810,#cancellation,moneycontrolcom,Moneycontrol,"#INDIA | Train ticket purchased from counter can be cancelled online: Railway Minister Ashwini Vaishnaw 🚆🎫

Tap for more info⤵️
https://t.co/UKXfp6q6Zk

#TrainTicket #Cancellation #RailwayMinister #AshwiniVaishnaw https://t.co/jSuy1wM44Y",Fri Mar 28 16:52:18 +0000 2025,11,0,0,cancellation_search
2004766015323078943,#cancellation,CNNnews18,News18,"US airlines cancel over 1,000 flights amid Northeast winter storm warnings

https://t.co/CKaNdu6MbR 

#USAirlines #Flights #Cancellation #Winters #SnowStorm #USA",Sat Dec 27 04:07:19 +0000 2025,1,0,0,cancellation_search
